,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170209,5075160.0,2419.0,2098.040512608516,7198001.0,2901.0,2481.213719407101,2402723.0,1273.0,1887.4493322859387,2672437.0,1146.0,2331.9694589877836,4417835.0,1431.0,3087.2361984626136,2780166.0,1470.0,1891.2693877551021,4381572.0,1462.0,2996.9712722298223,2816429.0,1439.0,1957.2126476719945,1911710.0,1028.0,1859.6400778210116,3163450.0,1391.0,2274.2271746944643
20170210,3712228.0,1790.0,2073.8703910614527,6635859.0,2317.0,2863.987483815278,3272763.0,1562.0,2095.238796414853,439465.0,228.0,1927.4780701754387,5744699.0,1899.0,3025.117956819379,891160.0,418.0,2131.9617224880385,5244661.0,1570.0,3340.548407643312,1391198.0,747.0,1862.380187416332,2452418.0,1191.0,2059.1251049538205,1259810.0,599.0,2103.1886477462435
20170213,3452152.0,1991.0,1733.878453038674,7116176.0,2756.0,2582.066763425254,2918370.0,1708.0,1708.6475409836066,533782.0,283.0,1886.155477031802,6393333.0,2425.0,2636.425979381443,722843.0,331.0,2183.8157099697887,4817867.0,1528.0,3153.0543193717276,2298309.0,1228.0,1871.5871335504885,1597546.0,1028.0,1554.0330739299611,1854606.0,963.0,1925.8629283489097
20170214,4725271.0,3307.0,1428.8693680072574,9195525.0,2560.0,3592.001953125,2974103.0,2176.0,1366.7752757352941,1751168.0,1131.0,1548.3359858532272,5380366.0,1367.0,3935.8931967812728,3815159.0,1193.0,3197.953897736798,7672483.0,1860.0,4124.9908602150535,1523042.0,700.0,2175.7742857142857,2952663.0,2291.0,1288.809690091663,1772608.0,1016.0,1744.6929133858268
20170215,4686597.0,3405.0,1376.3867841409692,9752118.0,2565.0,3801.995321637427,1353213.0,1118.0,1210.387298747764,3333384.0,2287.0,1457.5356362046348,4021737.0,919.0,4376.210010881393,5730381.0,1646.0,3481.397934386391,8026497.0,1918.0,4184.826381647549,1725621.0,647.0,2667.111282843895,2956271.0,2271.0,1301.7485689123735,1730326.0,1134.0,1525.8606701940034
20170216,4104738.0,2110.0,1945.37345971564,4084316.0,1945.0,2099.9053984575835,1812591.0,999.0,1814.4054054054054,2292147.0,1111.0,2063.138613861386,1930280.0,822.0,2348.272506082725,2154036.0,1123.0,1918.1086375779164,2535569.0,1119.0,2265.924039320822,1548747.0,826.0,1874.996368038741,1797877.0,1108.0,1622.6326714801444,2306861.0,1002.0,2302.256487025948
20170217,14151950.0,5729.0,2470.2304067027403,11485100.0,5257.0,2184.725128400228,4411365.0,2227.0,1980.8554108666367,9740585.0,3502.0,2781.4348943460877,4358927.0,1759.0,2478.0710631040365,7126173.0,3498.0,2037.213550600343,7310600.0,2820.0,2592.4113475177305,4174500.0,2437.0,1712.9667624128026,4870944.0,2744.0,1775.1253644314868,9281006.0,2985.0,3109.2147403685094
20170220,13793795.0,5565.0,2478.669362084456,12171944.0,5156.0,2360.733902249806,3189857.0,1501.0,2125.1545636242504,10603938.0,4064.0,2609.236712598425,3425382.0,1070.0,3201.2915887850468,8746562.0,4086.0,2140.617229564366,7148395.0,2449.0,2918.903634136382,5023549.0,2707.0,1855.7624676763946,5190909.0,2611.0,1988.0923018000767,8602886.0,2954.0,2912.283683141503
20170221,6563550.0,4074.0,1611.0824742268042,14883829.0,3830.0,3886.1172323759793,5016458.0,3164.0,1585.4797724399493,1547092.0,910.0,1700.1010989010988,12518241.0,2728.0,4588.798020527859,2365588.0,1102.0,2146.6315789473683,11246593.0,2220.0,5066.032882882883,3637236.0,1610.0,2259.152795031056,3269651.0,2422.0,1349.9797687861271,3293899.0,1652.0,1993.885593220339
20170222,4714475.0,2488.0,1894.8854501607716,7109694.0,2919.0,2435.660842754368,2104626.0,1239.0,1698.6489104116222,2609849.0,1249.0,2089.550840672538,3371376.0,1089.0,3095.845730027548,3738318.0,1830.0,2042.7967213114755,4734092.0,1676.0,2824.63723150358,2375602.0,1243.0,1911.184231697506,2327784.0,1380.0,1686.8,2386691.0,1108.0,2154.053249097473
